#B V
#P 1.135946
#Z 2444648.3283
#N 0.25
#S 0.03

2444587.4704 .236 0.005
2444587.4800 .250 0.005 
2444604.4028 .225 0.005 
2444604.4285 .217 0.005 
2444604.4415 .224 0.005 
2444604.4597 .221 0.005 
2444606.2652 .616 0.005 
2444606.2802 .740 0.005 
2444606.2919 .797 0.005 
2444606.3039 .788 0.005 
2444606.3204 .690 0.005 
2444606.3287 .612 0.005 
2444606.3466 .465 0.005 
2444606.3610 .369 0.005 
2444606.3728 .302 0.005 
2444606.3826 .265 0.005 
2444606.3936 .246 0.005 
2444606.4068 .238 0.005 
2444606.4200 .243 0.005 
2444606.4351 .250 0.005 
2444606.4517 .224 0.005 
2444606.4685 .221 0.005 
2444607.3737 .401 0.005 
2444607.3846 .483 0.005 
2444607.3951 .575 0.005 
2444607.4055 .658 0.005 
2444607.4144 .746 0.005 
2444607.4229 .788 0.005 
2444607.4395 .810 0.005 
2444607.4489 .755 0.005 
2444607.4594 .675 0.005 
2444607.4681 .597 0.005 
2444608.2981 .224 0.005 
2444608.3072 .223 0.005 
2444608.3143 .223 0.005 
2444608.3228 .231 0.005 
2444608.3312 .222 0.005 
2444608.3391 .226 0.005 
2444608.3474 .233 0.005 
2444608.3552 .228 0.005 
2444608.3641 .231 0.005 
2444608.3721 .230 0.005 
2444608.3823 .227 0.005 
2444608.3901 .230 0.005 
2444608.4109 .229 0.005
2444608.4236 .225 0.005 
2444608.4333 .236 0.005 
2444608.4434 .238 0.005 
2444608.4567 .241 0.005 
2444608.4655 .233 0.005 
2444609.2905 .222 0.005 
2444609.3004 .238 0.005 
2444609.3104 .226 0.005 
2444609.3201 .222 0.005 
2444609.3296 .228 0.005 
2444609.3397 .218 0.005 
2444610.2609 .297 0.005 
2444610.2637 .304 0.005 
2444610.2708 .309 0.005 
2444610.2736 .311 0.005 
2444610.2795 .301 0.005 
2444610.2828 .304 0.005 
2444610.2893 .306 0.005 
2444610.2921 .296 0.005 
2444610.2984 .290 0.005 
2444610.3026 .289 0.005 
2444610.3097 .269 0.005 
2444610.3137 .281 0.005 
2444610.3314 .259 0.005 
2444610.3333 .264 0.005 
2444610.3419 .247 0.005 
2444610.3465 .254 0.005 
2444610.3547 .241 0.005 
2444610.3578 .241 0.005 
2444610.3635 .239 0.005 
2444610.3666 .235 0.005 
2444611.2310 .230 0.005 
2444611.2343 .228 0.005 
2444611.2411 .231 0.005 
2444611.2440 .229 0.005 
2444611.2502 .232 0.005 
2444611.2529 .233 0.005 
2444611.2584 .229 0.005 
2444611.2613 .230 0.005 
2444611.2674 .229 0.005 
2444611.2701 .232 0.005 
2444611.2826 .224 0.005 
2444611.2844 .228 0.005 
2444611.2935 .230 0.005 
2444611.2985 .238 0.005 
2444611.3051 .240 0.005 
2444611.3091 .239 0.005 
2444611.3156 .241 0.005 
2444611.3185 .243 0.005 
2444611.3251 .242 0.005 
2444611.3286 .242 0.005 
2444611.3345 .241 0.005 
2444611.3373 .250 0.005 
2444611.3445 .258 0.005 
2444611.3494 .261 0.005 
2444611.3569 .271 0.005 
2444611.3597 .271 0.005 
2444611.3661 .290 0.005 
2444611.3696 .282 0.005 
2444611.3762 .290 0.005 
2444611.3794 .288 0.005 
2444611.3865 .293 0.005 
2444611.3888 .303 0.005 
2444611.3942 .305 0.005 
2444611.3963 .311 0.005
2444612.2323 .225 0.005 
2444612.2356 .215 0.005 
2444612.2410 .223 0.005 
2444612.2435 .223 0.005 
2444612.2495 .228 0.005 
2444612.2512 .227 0.005 
2444612.2562 .218 0.005 
2444612.2588 .222 0.005 
2444612.2660 .229 0.005 
2444612.2689 .225 0.005 
2444612.2750 .229 0.005 
2444612.2778 .219 0.005 
2444612.2830 .227 0.005 
2444612.2856 .225 0.005 
2444612.2973 .224 0.005 
2444612.2998 .223 0.005 
2444612.3195 .219 0.005 
2444612.3224 .230 0.005 
2444612.3276 .224 0.005 
2444612.3299 .232 0.005 
2444612.3352 .217 0.005 
2444612.3378 .220 0.005 
2444612.3437 .229 0.005 
2444612.3461 .226 0.005 
2444612.3519 .228 0.005 
2444612.3555 .224 0.005 
2444612.3621 .219 0.005 
2444612.3654 .219 0.005 
2444612.3726 .221 0.005 
2444612.3757 .218 0.005 
2444612.3818 .221 0.005 
2444612.3846 .217 0.005 
2444612.3904 .220 0.005 
2444612.3932 .222 0.005 
2444632.3395 .264 0.005 
2444632.3426 .287 0.005 
2444632.3485 .299 0.005 
2444632.3513 .312 0.005 
2444632.3668 .432 0.005 
2444632.3702 .437 0.005 
2444632.3766 .491 0.005 
2444632.3793 .506 0.005 
2444632.3854 .592 0.005 
2444632.3882 .624 0.005 
2444632.3953 .632 0.005 
2444632.3983 .679 0.005 
2444633.2192 .218 0.005 
2444633.2222 .225 0.005 
2444633.2277 .216 0.005
2444633.2307 .215 0.005 
2444633.2439 .225 0.005 
2444633.2472 .215 0.005 
2444633.2550 .214 0.005 
2444633.2584 .219 0.005 
2444633.2651 .220 0.005 
2444633.2686 .225 0.005 
2444633.2748 .218 0.005 
2444633.2782 .214 0.005 
2444633.2859 .221 0.005 
2444633.2892 .224 0.005 
2444633.2972 .231 0.005 
2444633.3001 .223 0.005 
2444633.3063 .222 0.005 
2444633.3092 .218 0.005 
2444633.3173 .228 0.005 
2444633.3203 .229 0.005 
2444633.3269 .234 0.005 
2444633.3299 .222 0.005 
2444633.3359 .232 0.005 
2444633.3393 .234 0.005 
2444633.3464 .242 0.005 
2444633.3492 .241 0.005 
2444633.3560 .235 0.005 
2444633.3590 .234 0.005 
2444633.3652 .228 0.005 
2444633.3683 .236 0.005 
2444633.3748 .226 0.005 
2444633.3780 .225 0.005 
2444633.3845 .235 0.005 
2444633.3875 .234 0.005 
2444634.2686 .224 0.005 
2444634.2712 .227 0.005 
2444634.2772 .224 0.005 
2444634.2798 .228 0.005 
2444634.2859 .222 0.005 
2444634.2886 .228 0.005 
2444634.2949 .230 0.005 
2444634.2972 .224 0.005 
2444634.3046 .230 0.005 
2444634.3074 .228 0.005 
2444634.3138 .228 0.005 
2444634.3165 .222 0.005 
2444634.3221 .229 0.005 
2444634.3245 .227 0.005 
2444634.3309 .225 0.005 
2444634.3336 .221 0.005 
2444634.3396 .222 0.005 
2444634.3427 .219 0.005 
2444634.3483 .217 0.005 
2444634.3511 .220 0.005 
2444634.3578 .234 0.005 
2444634.3610 .223 0.005 
2444634.3672 .229 0.005 
2444634.3699 .230 0.005 
2444634.3757 .227 0.005 
2444634.3787 .218 0.005 
2444634.3851 .225 0.005 
2444634.3879 .230 0.005 
2444635.2198 .283 0.005 
2444635.2225 .296 0.005 
2444635.2286 .291 0.005 
2444635.2316 .293 0.005 
2444635.2379 .284 0.005 
2444635.2407 .285 0.005 
2444635.2479 .301 0.005 
2444635.2507 .288 0.005 
2444635.2628 .308 0.005 
2444635.2656 .313 0.005 
2444635.2723 .312 0.005
2444635.2748 .308 0.005 
2444635.2809 .298 0.005 
2444635.2835 .296 0.005 
2444635.2899 .306 0.005 
2444635.2925 .293 0.005 
2444635.2985 .280 0.005 
2444635.3015 .283 0.005 
2444635.3077 .283 0.005 
2444635.3113 .272 0.005 
2444635.3199 .262 0.005 
